Date	GDP
2002-03-29	0.008248162348200694
2002-06-28	0.006136159763457272
2002-09-30	0.004027167106078977
2002-12-31	0.0013057048668603244
2003-03-31	0.0051539275379379745
2003-06-30	0.008894107911029181
2003-09-30	0.016531560339259954
2003-12-31	0.011474374132939502
2004-03-31	0.00571281561100534
2004-06-30	0.00775722238161336
2004-09-30	0.009368450946951157
2004-12-31	0.01016839983649831
2005-03-31	0.011047575271136978
2005-06-30	0.004854243855215046
2005-09-30	0.00782552039065365
2005-12-30	0.005663216060804999
2006-03-31	0.013396525697537243
2006-06-30	0.002452826665235719
2006-09-29	0.0015034311618826735
2006-12-29	0.008401723432475805
2007-03-30	0.0029316870092106484
2007-06-29	0.006364051696799322
2007-09-28	0.0060050004151896985
2007-12-31	0.0060779319201866855
