"Date","GDP","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20"
1982-09-30,-0.0038303190571547,-0.0051143582513656,-0.390833333333333,0.166666666666667,-0.00253936858030516,7.01878306115835,0.00517133211768058,0.00873392675025701,-0.00133010485816776,1.2,-0.00235159704131682,0.00720073650193775,-1.28,2.74666666666667,5.24333333333333,0.143333333333333,-1.69,2.11,-1.07333333333333,-0.653333333333334,3.8
1982-12-31,0.000399382974784146,-0.00662709006217321,-0.550333333333337,0.233333333333334,-0.00154347279309282,7.15458974468805,0.0055454450919088,0.00903954260052527,0.0095335383000504,0.866666666666669,0.000981156966820329,-0.00592981558204198,-0.453333333333334,2.59,5.10333333333333,-0.486666666666667,-1.38,1.38,-0.646666666666667,-0.6,2.76
1983-03-31,0.0130923951016122,0.0068880098454421,0.695300000000003,-0.166666666666667,0.0011956915495824,7.39608913945781,0.00374949717286999,0.00745565566478431,0.00616622589488773,2.96666666666666,-0.00164220738150167,0.0024834478883203,-0.0599999999999999,3.19,5.18,-0.31,-0.546666666666667,1.91,0.043333333333333,-0.00999999999999979,2.45666666666667
1983-06-30,0.0225010659717633,0.00820143113696359,0.720866666666666,-0.066666666666667,0.00346529390435239,7.41136850418551,0.00720753153809343,0.0140594457609247,0.0324868222150053,3.8,0.000986684390821502,0.00642607532254432,0.0700000000000003,2.76666666666667,4.44666666666667,-0.183333333333333,-0.406666666666667,1.74,0.206666666666667,0.113333333333333,2.14666666666667
1983-09-30,0.0197934536690223,0.0137344924836137,0.982766666666668,-0.3,0.00450904625473747,7.49542695491704,0.00403056701779884,0.00325034613565833,0.0133307059760236,-0.766666666666666,0.000323097851208765,0.00709327476974527,0.156666666666666,2.88333333333333,4.06666666666667,-0.116666666666667,-0.32,2.16666666666667,0.166666666666667,0.266666666666667,2.48666666666667
1983-12-30,0.0206475396624981,0.0055840026599463,0.380299999999996,-0.3,0.00357178067926848,7.45521390965656,0.00704813751142478,0.0115306292930046,0.018049674456367,1.43333333333333,-9.59289204812326e-07,0.00303565634151208,0.00666666666666712,2.98,4.17666666666667,-0.223333333333333,-0.63,2.25666666666667,-0.0166666666666669,0.0599999999999999,2.88666666666667
1984-03-30,0.0193591004130838,0.00970351402872819,0.762066666666669,-0.166666666666667,0.00430544409990041,7.56250918046476,0.000446662420898895,0.00473259890030834,0.0263217909318746,2.26666666666667,0.000308049661382981,-0.0079725888755607,0.146666666666667,2.59666666666667,4.05666666666667,-0.236666666666667,-0.516666666666667,2.25666666666667,0.16,0.163333333333333,2.77333333333333
1984-06-29,0.0171303605849502,0.0047930996359633,0.175366666666667,-0.2,0.00372526601170975,7.50787447770428,0.00638758531835038,0.0130332132508138,-0.0275681408595112,-1.83333333333333,-0.00128700288581977,0.0137016845697913,0.383333333333333,2.65666666666667,4.14333333333333,0.0466666666666667,-0.76,2.64333333333333,0.496666666666667,0.413333333333333,3.40333333333333
1984-09-28,0.00959446187948387,0.00042045648319992,-0.126433333333334,0.0333333333333332,0.00303793880738882,7.42106961939615,0.00238475084042763,-0.00243601915497334,-0.00121325667787412,1.8,0,0.0190197459928164,0.0800000000000001,1.6,3.32,-0.253333333333333,-1.07,1.47666666666667,-0.166666666666667,-0.346666666666667,2.54666666666667
1984-12-31,0.00817506437977045,0.00118882702948723,0.0527333333333312,0,0.00265691670323479,7.39620404502955,0.00417896575941542,0.00650249002449025,0.00750300721931711,-2.66666666666667,0,0.00551414149616244,-0.973333333333333,3.08333333333333,4.34,-0.07,-0.463333333333333,2.47666666666667,-0.75,-0.34,2.94
1985-03-29,0.00964406911388593,0.00128040119508051,-0.191466666666666,-0.0333333333333332,0.00253954345504977,7.44597891776683,0.00389317093651235,0.00775260156970011,-0.000107444564302265,0.266666666666666,0,0.0184562030333118,0.0666666666666664,3.78,4.91666666666667,0.0133333333333333,-0.293333333333333,3.10666666666667,0.176666666666666,0.12,3.4
1985-06-28,0.00876612850822411,-0.000346947409958887,-0.252866666666667,0.0666666666666667,0.002116997421167,7.45261847772231,0.00292840450713442,0.00450026892371251,0.0181577674447997,0.933333333333332,-0.000954654590476167,-0.0160164663956476,-0.35,3.70666666666667,5.09666666666667,-0.0733333333333333,-0.463333333333333,2.89,-0.686666666666667,-0.566666666666666,3.35333333333333
1985-09-30,0.0151557813666621,0.000714124040849917,-0.134499999999998,-0.1,0.00199826006950055,7.43881850712144,0.0103187517964557,0.0145944298602435,-0.000451886851680072,-1.46666666666667,-0.00128571230054971,-0.0141155795020686,0.13,3.13,4.57,-0.196666666666667,-0.793333333333333,2.43666666666667,0.0900000000000001,0.0699999999999997,3.23
1985-12-31,0.00740578281411608,0.00332069213790446,0.0812999999999988,-0.0333333333333332,0.00191199279400086,7.50764488951299,-0.000675718710186383,-0.00406490171572808,-0.000181563661236339,0.600000000000004,0.0038164139563411,-0.02654490241361,0.116666666666667,2.47333333333333,3.87333333333333,-0.33,-0.936666666666667,1.65666666666667,-0.133333333333333,-0.37,2.59333333333333
1986-03-31,0.00929194295061464,-0.00300413020643623,-0.0146000000000015,0.0666666666666667,0.00109680860446796,7.54851997231013,0.000647591095180496,-0.00222686273527846,-0.00235974470742898,0.399999999999996,-0.00576492126526803,-0.0230813566043742,-0.263333333333333,1.74666666666667,3.19,-0.313333333333333,-0.93,0.73,-0.213333333333333,-0.493333333333333,1.66
1986-06-30,0.00449366198641599,-0.000315350796780282,-0.0178666666666629,0,0.000743773730302285,7.53774906851112,0.00330278188212259,0.00727722956628026,-0.00695499783838057,1.4,0.00516022020056924,-0.00887787660155019,-0.186666666666667,2.08333333333333,3.35333333333333,-0.276666666666667,-0.78,0.683333333333333,-0.0999999999999999,0.00666666666666652,1.46333333333333
1986-09-30,0.00952442716350177,0.00241951825014445,0.191800000000001,-0.0666666666666667,0.00260856191813967,7.47187399372298,0.0110056254510048,0.0235603450450051,0.0113856949861895,-2.46666666666666,-0.000322837365452836,-0.0150565661116187,-0.343333333333333,2.62333333333333,3.97333333333333,-0.23,-0.683333333333333,1.1,-0.32,-0.116666666666667,1.78333333333333
1986-12-31,0.00535549090620613,0.00584607485941232,0.299699999999997,-0.133333333333333,0.00191243587872059,7.44429498292097,0.00117684761034494,-0.00107487415777878,0.00507188550292644,-0.933333333333337,-4.38605147904762e-06,0.00210493725529481,0.34,2.41,3.82666666666667,-0.42,-0.913333333333333,0.996666666666667,0.0333333333333335,-0.113333333333333,1.91
